image_file_name,color,style,part,season,category
short_boots_0050.jpg,black,modern,shoes,winter,short_boots
coach_jacket_0048.jpg,blue,casual,outer,spring/fall,coach_jacket
long_boots_0025.jpg,black,luxury,shoes,winter,long_boots
hill_0045.jpg,black,modern,shoes,All,hill
trench_coat_0003.jpg,black,modern,outer,spring/fall,trench_coat
coat_0020.jpg,brown,modern,outer,winter,coat
hightop_0012.jpg,white,lovely,top,summer,hightop
sandal_0031.jpg,black,sporty,shoes,summer,sandal
skirt_0039.jpg,gray,lovely,bottom,spring/fall,skirt
short_padding_0037.jpg,black,casual,outer,winter,short_padding
leather_jacket_0056.jpg,black,street,outer,winter,leather_jacket
blouse_long_0004.jpg,white,modern,top,spring/fall,blouse_long
fleece_jacket_0017.jpg,white,casual,outer,winter,fleece_jacket
fleece_jacket_0001.jpg,beige,casual,outer,winter,fleece_jacket
dress_shirt_long_0039.jpg,pink,formal/office,top,spring/fall,dress_shirt_long
blazer_0066.jpg,black,modern,outer,spring/fall,blazer
mtm_0020.jpg,gray,casual,top,spring/fall,mtm
running_shoes_0050.jpg,white,sporty,shoes,All,running_shoes
blouse_long_0037.jpg,white,modern,top,spring/fall,blouse_long
jumper_0013.jpg,navy,casual,outer,spring/fall,jumper
slacks_0048.jpg,black,formal/office,bottom,All,slacks
mtm_0014.jpg,white,casual,top,spring/fall,mtm
short_padding_0026.jpg,black,casual,outer,winter,short_padding
dress_0016.jpg,beige,lovely,onepiece,spring/fall,dress
hoody_jacket_0032.jpg,red,sporty,outer,spring/fall,hoody_jacket
blazer_0038.jpg,gray,modern,outer,spring/fall,blazer
jogger_0011.jpg,gray,casual,bottom,winter,jogger
blazer_0083.jpg,navy,modern,outer,spring/fall,blazer
blazer_0024.jpg,black,modern,outer,spring/fall,blazer
trench_coat_0046.jpg,khaki,modern,outer,spring/fall,trench_coat
coat_0050.jpg,beige,luxury,outer,winter,coat
sleeveless_0015.jpg,black,casual,top,summer,sleeveless
sweater_0011.jpg,brown,modern,top,winter,sweater
jean_0034.jpg,white,casual,bottom,winter,jean
