image_file_name,color,style,part,season,category
jean_0001.jpg,blue,casual,bottom,winter,jean
jean_0002.jpg,white,casual,bottom,winter,jean
jean_0003.jpg,navy,casual,bottom,winter,jean
jean_0004.jpg,navy,casual,bottom,winter,jean
jean_0005.jpg,blue,casual,bottom,winter,jean
jean_0006.jpg,blue,casual,bottom,winter,jean
jean_0007.jpg,navy,casual,bottom,winter,jean
jean_0008.jpg,white,casual,bottom,winter,jean
jean_0009.jpg,blue,casual,bottom,winter,jean
jean_0010.jpg,blue,casual,bottom,winter,jean
jean_0011.jpg,sky,casual,bottom,winter,jean
jean_0012.jpg,black,casual,bottom,winter,jean
jean_0013.jpg,black,casual,bottom,winter,jean
jean_0014.jpg,blue,casual,bottom,winter,jean
jean_0015.jpg,blue,casual,bottom,winter,jean
jean_0016.jpg,sky,casual,bottom,winter,jean
jean_0017.jpg,blue,casual,bottom,winter,jean
jean_0018.jpg,blue,casual,bottom,winter,jean
jean_0019.jpg,blue,casual,bottom,winter,jean
jean_0020.jpg,blue,casual,bottom,winter,jean
jean_0021.jpg,blue,casual,bottom,winter,jean
jean_0022.jpg,pink,casual,bottom,winter,jean
jean_0023.jpg,gray,casual,bottom,winter,jean
jean_0024.jpg,beige,casual,bottom,winter,jean
jean_0025.jpg,yellow,casual,bottom,winter,jean
jean_0026.jpg,yellow,casual,bottom,winter,jean
jean_0027.jpg,beige,casual,bottom,winter,jean
jean_0028.jpg,brown,casual,bottom,winter,jean
jean_0029.jpg,white,casual,bottom,winter,jean
jean_0030.jpg,white,casual,bottom,winter,jean
jean_0031.jpg,dark_beige,casual,bottom,winter,jean
jean_0032.jpg,khaki,casual,bottom,winter,jean
jean_0033.jpg,khaki,casual,bottom,winter,jean
jean_0034.jpg,white,casual,bottom,winter,jean
jean_0035.jpg,white,casual,bottom,winter,jean
jean_0036.jpg,khaki,casual,bottom,winter,jean
jean_0037.jpg,khaki,casual,bottom,winter,jean
jean_0038.jpg,black,casual,bottom,winter,jean
jean_0039.jpg,beige,casual,bottom,winter,jean
jean_0040.jpg,white,casual,bottom,winter,jean
jean_0041.jpg,dark_beige,casual,bottom,winter,jean
jean_0042.jpg,khaki,casual,bottom,winter,jean
jean_0043.jpg,white,casual,bottom,winter,jean
jean_0044.jpg,dark_beige,casual,bottom,winter,jean
jean_0045.jpg,blue,casual,bottom,winter,jean
jean_0046.jpg,blue,casual,bottom,winter,jean
jean_0047.jpg,gray,casual,bottom,winter,jean
jean_0048.jpg,blue,casual,bottom,winter,jean
jean_0049.jpg,sky,casual,bottom,winter,jean
jean_0050.jpg,white,casual,bottom,winter,jean
jogger_0001.jpg,black,street,bottom,winter,jogger
jogger_0002.jpg,black,sporty,bottom,winter,jogger
jogger_0003.jpg,black,sporty,bottom,winter,jogger
jogger_0004.jpg,black,casual,bottom,winter,jogger
jogger_0005.jpg,black,street,bottom,winter,jogger
jogger_0006.jpg,black,casual,bottom,winter,jogger
jogger_0007.jpg,dark_beige,sporty,bottom,winter,jogger
jogger_0008.jpg,khaki,casual,bottom,winter,jogger
jogger_0009.jpg,black,sporty,bottom,winter,jogger
jogger_0010.jpg,black,street,bottom,winter,jogger
